frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13];pcm_fftMag_mfcc[14];pcm_fftMag_mfcc[15];pcm_fftMag_mfcc[16]
278;2.786304;-3.569001e+000;-5.717064e-001;-1.772236e+000;1.153097e+001;8.621151e+000;-9.850044e+000;-1.580888e+001;-1.587953e+000;1.517121e+001;1.983881e+001;1.793296e+001;-1.181501e+001;4.450865e+000;9.634992e+000;1.040206e+000;-1.341300e+000
279;2.796327;-1.335532e+000;-2.522167e+000;-7.937369e+000;3.207109e+000;8.780399e+000;1.533381e+000;2.611426e-001;4.136513e+000;7.624079e+000;6.032810e+000;7.821550e+000;-1.539045e+001;-2.267576e+000;2.476172e+000;-1.470762e-001;6.673532e+000
280;2.806349;7.774342e+000;5.951184e+000;3.774310e+000;8.617289e+000;-3.056496e+000;-2.830635e+000;-5.159699e+000;-1.360162e+001;-2.388899e+000;1.168695e+001;1.105764e+001;5.175925e-001;-1.582344e+000;-5.367810e+000;5.762932e+000;4.534449e+000
281;2.816372;9.816508e+000;1.258475e+001;7.753411e+000;9.797426e+000;-4.750496e+000;-3.429868e+000;-2.521091e-001;-6.341775e+000;-7.247920e+000;6.557680e+000;5.067575e+000;2.684562e+000;2.341062e+000;-1.122295e+000;1.735954e+000;7.102640e-001
282;2.826395;5.602676e+000;7.187197e+000;8.423344e+000;1.414257e+001;3.243028e+000;-1.452071e+001;5.328133e+000;6.035759e+000;-9.613670e+000;-6.028047e+000;2.004322e+000;3.524873e+000;1.428053e+000;7.297665e+000;7.477748e-001;-8.069538e+000
283;2.836417;8.018633e+000;9.147523e+000;6.826963e+000;1.275423e+001;-1.636925e+000;-8.496313e+000;3.167873e+000;-9.133298e+000;-1.463895e+000;-5.756942e+000;-1.644995e+000;1.195114e+001;-2.663540e+000;1.809915e-001;-7.227719e-001;-8.341113e+000
284;2.846440;8.819338e+000;9.473360e+000;5.735034e+000;1.437739e+001;7.144010e+000;-1.109729e+000;-3.069049e+000;-8.710486e+000;1.394332e+001;-5.774577e-001;4.558830e+000;-3.095842e+000;-1.023226e+001;-2.576378e+000;3.574779e-001;-5.495476e-002
285;2.856463;9.992324e+000;1.595685e+001;1.067812e+001;6.688176e+000;5.831312e+000;-3.160305e+000;3.155063e+000;-6.349338e+000;5.745783e+000;2.372712e+000;9.417475e-001;-5.629144e+000;-5.213899e+000;-2.196000e+000;2.297098e+000;2.375207e-001
286;2.866485;6.949270e+000;1.433729e+001;1.294444e+001;5.122192e+000;1.440758e+001;-8.699527e+000;1.237347e+001;6.505702e+000;1.866052e+000;1.540389e+001;-9.311354e+000;8.031689e+000;-3.415614e+000;-2.262769e+000;-2.551828e+000;-7.531262e+000
287;2.876508;9.523312e+000;7.876781e+000;1.096495e+001;1.120163e+001;5.720020e+000;4.209892e+000;-6.446604e-001;9.170901e+000;-1.425033e+000;8.588583e+000;-1.171400e+000;-1.456221e-001;8.964150e-001;1.336713e+000;2.333216e+000;1.996871e+000
288;2.886531;1.014503e+001;6.400435e+000;6.686833e+000;1.320691e+001;7.147297e+000;1.716803e+001;1.463954e+000;5.463226e+000;3.283888e+000;1.719683e-001;6.740384e+000;-6.749001e+000;1.615663e+000;3.084217e+000;-2.647113e+000;1.582201e+000
